Series Name	Series Code	Country Name	Country Code	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]
GDP per capita (current US$)	NY.GDP.PCAP.CD	IBRD only	IBD	5541.33759395986	5528.04543069571	6048.21917294317
GDP per capita (current US$)	NY.GDP.PCAP.CD	IDA & IBRD total	IBT	4484.4893837025	4456.76020150655	4837.06302141945
GDP per capita (current US$)	NY.GDP.PCAP.CD	IDA blend	IDB	1993.78936181267	1826.22694665161	1760.54249485162
GDP per capita (current US$)	NY.GDP.PCAP.CD	IDA only	IDX	1042.15535457657	1077.4759697027	1135.9391535687
GDP per capita (current US$)	NY.GDP.PCAP.CD	IDA total	IDA	1360.96217666755	1327.72429067074	1344.21682075242
GDP per capita (current US$)	NY.GDP.PCAP.CD	Late-demographic dividend	LTE	8212.74329215127	8180.74109097909	9020.04276617454
GDP per capita (current US$)	NY.GDP.PCAP.CD	Latin America & Caribbean	LCN	8719.62575346093	8417.3721092089	9256.11626423804
GDP per capita (current US$)	NY.GDP.PCAP.CD	Latin America & Caribbean (excluding high income)	LAC	8297.30225777455	7968.02217920097	8788.65434317749
GDP per capita (current US$)	NY.GDP.PCAP.CD	Latin America & the Caribbean (IDA & IBRD countries)	TLA	8577.804211342	8258.39951873525	9110.90175054244
GDP per capita (current US$)	NY.GDP.PCAP.CD	Least developed countries: UN classification	LDC	968.123889466947	961.052941601299	1026.5687075244
GDP per capita (current US$)	NY.GDP.PCAP.CD	Low & middle income	LMY	4214.45758022272	4202.3081380546	4528.2851864622
GDP per capita (current US$)	NY.GDP.PCAP.CD	Low income	LIC	714.771564692477	642.048021882497	654.651268016387
GDP per capita (current US$)	NY.GDP.PCAP.CD	Lower middle income	LMC	1856.92603274113	1906.05841740326	2018.06133276216
GDP per capita (current US$)	NY.GDP.PCAP.CD	Middle East & North Africa	MEA	7266.6592292899	7204.57374392984	7380.40569942152
GDP per capita (current US$)	NY.GDP.PCAP.CD	Middle East & North Africa (excluding high income)	MNA	3862.5722046145	3887.0200728029	3821.91888653613
GDP per capita (current US$)	NY.GDP.PCAP.CD	Middle East & North Africa (IDA & IBRD countries)	TMN	3869.3156107047	3891.14303171761	3824.23813565368
GDP per capita (current US$)	NY.GDP.PCAP.CD	Middle income	MIC	4590.10014047065	4589.78770455454	4956.25071427331
GDP per capita (current US$)	NY.GDP.PCAP.CD	North America	NAC	55701.8124434679	56617.8738074516	58796.4689001287
GDP per capita (current US$)	NY.GDP.PCAP.CD	Not classified	INX	..	..	..
GDP per capita (current US$)	NY.GDP.PCAP.CD	OECD members	OED	35733.3440313659	36197.2181448972	37576.6175060967
GDP per capita (current US$)	NY.GDP.PCAP.CD	Other small states	OSS	11597.2856104624	12007.5839403413	13168.3078074236
GDP per capita (current US$)	NY.GDP.PCAP.CD	Pacific island small states	PSS	3735.49952275424	3878.32501790946	4142.26772455685
GDP per capita (current US$)	NY.GDP.PCAP.CD	Post-demographic dividend	PST	40717.0989510662	41461.9972670039	43088.4274179433
GDP per capita (current US$)	NY.GDP.PCAP.CD	Pre-demographic dividend	PRE	1524.75727930826	1320.44521076183	1340.65197800485
GDP per capita (current US$)	NY.GDP.PCAP.CD	Small states	SST	10568.2406997506	10806.5478125662	11730.8818238776
GDP per capita (current US$)	NY.GDP.PCAP.CD	South Asia	SAS	1539.5941449215	1675.52326892233	1887.87828259142
GDP per capita (current US$)	NY.GDP.PCAP.CD	South Asia (IDA & IBRD)	TSA	1539.5941449215	1675.52326892233	1887.87828259142
GDP per capita (current US$)	NY.GDP.PCAP.CD	Sub-Saharan Africa	SSF	1654.27280706483	1468.9014601283	1528.22459360107
GDP per capita (current US$)	NY.GDP.PCAP.CD	Sub-Saharan Africa (excluding high income)	SSA	1653.00584689775	1467.52177135115	1526.78737212966
GDP per capita (current US$)	NY.GDP.PCAP.CD	Sub-Saharan Africa (IDA & IBRD countries)	TSS	1654.27280706483	1468.9014601283	1528.22459360107
GDP per capita (current US$)	NY.GDP.PCAP.CD	Upper middle income	UMC	7372.17996247398	7340.45765373801	7988.4308620841
GDP per capita (current US$)	NY.GDP.PCAP.CD	World	WLD	10177.8905141454	10224.0659312632	10762.8045848545
						
						
						
Data from database: World Development Indicators						
Last Updated: 11/13/2024						
